Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Terrace Area,Garden Area,Surface of the land,Number of facades,State of the building,Furnished,Terrace,Garden,Swimming pool
Herstal,unknown,mixed-building,None,2,95,,,,3,Normal,0,1,0,0
Gosselies,apartment,apartment,15000,2,77,48,,,2,Excellent,0,1,0,0
Arlon,house,mansion,None,2,209,,,34508,4,Excellent,0,1,1,0
Mazée,house,residence,1100,3,255,,169,374,3,,0,0,1,0
Mariembourg,house,residence,620,1,72,,800,895,4,,0,0,1,0
Marchienne-au-Pont,apartment,duplex,14999,3,97,26,,,2,Normal,0,1,0,0
Theux,house,bungalow,10000,1,,,,1043,4,,0,0,1,0
Klerken,house,villa,None,3,203,,,634,4,Excellent,0,1,1,0
Blankenberge,apartment,apartment,10000,0,10,,,,,,0,0,0,0
Rumbeke,house,bungalow,1,3,126,12,438,580,4,To be renovated,0,1,1,0
Liege,apartment,apartment,15000,1,,2,,,2,Normal,0,1,0,0
Gilly,house,residence,15000,2,129,,,110,2,Fully renovated,0,0,0,0
Seraing,apartment,loft,15000,1,,,,,2,Normal,0,0,0,0
Saive,house,bungalow,19000,1,88,37,222,434,4,Normal,0,1,1,0
Engis,house,bungalow,15000,2,75,,,793,4,To renovate,0,1,1,0
Wanze,house,residence,20000,3,167,71,3600,3732,4,Normal,0,1,1,0
Liege,house,residence,20000,3,,,,,2,Normal,0,1,0,0
Lanaye,house,residence,16500,,,,,2445,4,,0,0,0,0
Hermée,house,residence,20000,,,,,3130,4,,0,0,0,0
Hastière-Lavaux,house,bungalow,19000,1,49,15,200,242,,To be renovated,0,1,1,0
Sint-Jans-Molenbeek,apartment,apartment,25000,1,60,14,,,2,Excellent,0,1,0,0
Durbuy,house,residence,None,0,30,,,190,,,0,1,0,0
Saint-Hubert,house,residence,None,1,45,,,23,,To be renovated,0,0,1,0
Dour,house,residence,25000,1,115,,,277,3,,0,1,1,0
Forges,house,bungalow,20000,1,40,,,192,4,To renovate,1,1,1,0
Vielsalm,apartment,duplex,25000,3,115,8,,,2,Excellent,0,1,0,0
Zulte,house,residence,25000,3,,,,280,,To be renovated,0,0,0,0
Vorst,apartment,apartment,25000,1,72,2,,,2,Excellent,0,1,0,0
Wanze,house,bungalow,25000,2,100,,,944,4,Normal,0,1,1,0
Eupen,house,residence,25000,2,116,,355,,,,0,0,1,0
Couthuin,house,residence,25000,3,215,40,900,1376,4,Normal,0,1,1,0
Tongrinne,house,residence,25000,4,182,,,589,3,Normal,0,1,1,0
Glain,apartment,apartment,27500,2,78,10,,,1,,0,1,0,0
Malmedy,apartment,studio,30000,1,,,,,2,To be renovated,0,1,0,0
Aiseau-Presles,house,residence,29000,3,,,,526,,,0,0,0,0
Winenne,house,residence,29000,2,,,,141,2,To be renovated,0,0,1,0
Montignies-sur-Sambre,house,residence,30000,1,,,,,,,0,0,1,0
Glain,apartment,apartment,27500,1,66,2,,,2,,0,1,0,0
Saint-Hubert,house,residence,25000,1,40,,,143,,To be renovated,0,0,1,0
Assebroek,apartment,apartment,30000,2,,,,,,Normal,0,1,0,0
Esneux,house,residence,30000,3,105,,,668,3,Excellent,0,1,1,0
Jabbeke,house,residence,33000,2,,,,,,,0,1,1,0
Ramillies,house,residence,30000,4,135,,,1840,3,To be renovated,0,1,1,0
