postcode,x,y,distance
1000,50.8504,4.3488,4.419
1020,50.8759,4.3484,6.31
1030,50.8694,4.3774,4.625
1040,50.8327,4.3884,1.098
1050,50.8333,4.3667,2.625
1060,50.8276,4.3439,4.243
1070,50.8362,4.3145,6.317
1080,50.8499,4.3125,6.757
1081,50.8612,4.3314,6.088
1082,50.8657,4.2956,8.527
1083,50.8707,4.3153,7.619
1090,50.8731,4.3342,6.755
1120,50.9057,4.3922,8.313
1130,50.8956,4.417,7.209
1140,50.8744,4.399,4.802
1150,50.8551,4.3707,3.526
1160,50.8167,4.4333,2.639
1170,50.8015,4.4144,3.402
1180,50.8022,4.3394,5.579
1190,50.8168,4.3278,5.596
1200,50.8439,4.4291,2.263
1210,50.8538,4.3728,3.32
1300,50.706,4.5884,4.334
1301,50.7114,4.5866,4.87
1310,50.7309,4.4858,9.002
1315,50.6976,4.7961,16.41
1320,50.7782,4.7604,18.197
1325,50.6907,4.6983,9.498
1330,50.7123,4.5253,5.674
1331,50.731,4.5447,7.072
1332,50.7216,4.4938,7.851
1340,50.6662,4.5585,0.766
1341,50.6609,4.5207,3.486
1342,50.6843,4.5719,1.699
1348,50.6683,4.6144,3.264
1350,50.6915,4.9572,27.602
1357,50.745,4.9158,25.958
1360,50.6388,4.7947,16.368
1367,50.6554,4.8805,22.132
1370,50.7257,4.8588,21.469
1380,50.6793,4.47,7.035
1390,50.7513,4.6903,12.559
1400,50.5983,4.3089,19.972
1401,50.6133,4.3528,16.46
1402,50.5968,4.369,16.236
1404,50.6019,4.2765,21.956
1410,50.7147,4.3991,12.979
1420,50.6836,4.3678,14.259
1421,50.6665,4.3487,15.524
1428,50.6455,4.3668,14.487
1430,50.6707,4.1287,26.389
1435,50.6346,4.6279,5.711
1440,50.6809,4.2862,18.681
1450,50.59,4.628,9.773
1457,50.6317,4.6996,10.184
1460,50.6422,4.2353,23.736
1461,50.6531,4.2978,19.206
1470,50.6085,4.4785,9.269
1471,50.5981,4.4445,11.799
1472,50.6085,4.441,11.253
1473,50.6307,4.4533,9.189
1474,50.6111,4.4645,9.78
1476,50.5824,4.4126,14.648
1480,50.6895,4.2006,21.321
1490,50.6338,4.5685,3.939
1495,50.5649,4.5336,11.859
1500,50.7338,4.2345,16.136
1501,50.7354,4.2477,15.335
1502,50.7157,4.2183,18.351
1540,50.7362,4.0662,26.057
1541,50.7076,3.99,32.276
1547,50.7164,3.9412,35.049
1560,50.7673,4.4683,8.45
1570,50.752,4.0007,29.764
1600,50.7821,4.2138,14.472
1601,50.7901,4.2977,8.775
1602,50.8078,4.232,12.389
1620,50.7873,4.3147,7.967
1630,50.7678,4.3369,8.499
1640,50.7464,4.3575,9.998
1650,50.7659,4.3002,10.314
1651,50.7679,4.2771,11.386
1652,50.7413,4.3375,11.055
1653,50.7298,4.3011,13.42
1654,50.7465,4.2738,13.159
1670,50.7447,4.1358,21.217
1671,50.7789,4.1709,17.425
1673,50.741,4.181,18.653
1674,50.7409,4.1537,20.307
1700,50.8629,4.2306,12.696
1701,50.838,4.2495,10.898
1702,50.8717,4.2497,11.746
1703,50.8384,4.1961,14.655
1730,50.9087,4.2287,15.035
1731,50.8916,4.2751,11.274
1740,50.8665,4.1668,17.145
1741,50.8528,4.1617,17.221
